lga_code,lga_name,2021_dw,2026_dw,2031_dw,2036_dw,
20110,Alpine (S),7271,7624,7920,8187,
20260,Ararat (RC),5509,5627,5766,5905,
20570,Ballarat (C),50347,57098,63158,68568,
20660,Banyule (C),53031,56287,59547,63197,
20740,Bass Coast (S),28981,31730,34321,36872,
20830,Baw Baw (S),24522,27819,31069,34320,
20910,Bayside (C),43102,45673,48093,50513,
21010,Benalla (RC),7211,7585,7885,8125,
21110,Boroondara (C),72924,77012,80872,84832,
21180,Brimbank (C),71871,75194,78884,82734,
21270,Buloke (S),3397,3417,3447,3467,
21370,Campaspe (S),17840,18561,19241,19921,
21450,Cardinia (S),43533,50681,58518,65924,
21610,Casey (C),122674,143422,162122,180772,
21670,Central Goldfields (S),7004,7325,7612,7866,
21750,Colac-Otway (S),12460,13067,13654,14214,
21830,Corangamite (S),7897,8145,8359,8567,
21890,Darebin (C),68366,72923,79043,85493,
22110,East Gippsland (S),26078,27872,29572,31272,
22170,Frankston (C),58890,61152,63602,66552,
22250,Gannawarra (S),5326,5481,5611,5726,
22310,Glen Eira (C),66235,70589,74839,79089,
22410,Glenelg (S),10173,10470,10700,10910,
22490,Golden Plains (S),9408,10405,11593,13134,
22620,Greater Bendigo (C),53173,57567,62067,66787,
22670,Greater Dandenong (C),58198,61255,65145,69755,
22750,Greater Geelong (C),120823,136989,152589,168089,
22830,Greater Shepparton (C),28885,30780,32636,34518,
22910,Hepburn (S),9511,9976,10481,10959,
22980,Hindmarsh (S),3110,3121,3145,3174,
23110,Hobsons Bay (C),39336,42384,45464,48594,
23190,Horsham (RC),9638,9992,10302,10612,
23270,Hume (C),83980,97480,110780,125070,
23350,Indigo (S),7750,8285,8799,9279,
23430,Kingston (C) (Vic.),67622,71196,74916,79196,
23670,Knox (C),62012,64803,67593,70552,
23810,Latrobe (C) (Vic.),35685,37458,39154,40802,
23940,Loddon (S),4323,4379,4449,4519,
24130,Macedon Ranges (S),20630,22429,24254,26404,
24210,Manningham (C),49918,52650,55350,58200,
24250,Mansfield (S),6619,7245,7842,8440,
24330,Maribyrnong (C),40501,46919,53019,59579,
24410,Maroondah (C),46937,49651,52471,55581,
24600,Melbourne (C),103368,120113,136762,153568,
24650,Melton (C),60363,82671,102271,121921,
24780,Mildura (RC),25371,26690,27950,29160,
24850,Mitchell (S),19590,25068,33545,45071,
24900,Moira (S),14948,15668,16368,17068,
24970,Monash (C),76463,80970,86370,92270,
25060,Moonee Valley (C),55115,59593,64533,69693,
25150,Moorabool (S),15473,17481,20101,23391,
24700,Merri-bek (C),78310,85149,93349,101689,
25340,Mornington Peninsula (S),93602,96833,100343,104543,
25430,Mount Alexander (S),10141,10868,11558,12248,
25490,Moyne (S),8550,9015,9453,9892,
25620,Murrindindi (S),8349,8856,9380,9905,
25710,Nillumbik (S),22406,23255,24155,24945,
25810,Northern Grampians (S),6253,6370,6490,6610,
25900,Port Phillip (C),63301,69550,77150,86290,
25990,Pyrenees (S),3939,4130,4303,4472,
26080,Queenscliffe (B),2902,3022,3147,3272,
26170,South Gippsland (S),17145,18138,19186,20234,
26260,Southern Grampians (S),8292,8516,8696,8866,
26350,Stonnington (C),59609,64067,68367,72567,
26430,Strathbogie (S),6164,6546,6921,7296,
26490,Surf Coast (S),20678,22880,24506,25867,
26610,Swan Hill (RC),9554,9819,10074,10316,
26670,Towong (S),3125,3222,3302,3372,
26700,Wangaratta (RC),13677,14374,15024,15674,
26730,Warrnambool (C),16025,16977,17979,19001,
26810,Wellington (S),23554,24823,26098,27338,
26890,West Wimmera (S),2255,2296,2322,2343,
26980,Whitehorse (C),71712,78010,84060,90110,
27070,Whittlesea (C),82993,95769,108669,122319,
27170,Wodonga (C),18214,19929,21689,23455,
27260,Wyndham (C),100363,122682,142382,161932,
27350,Yarra (C),50059,56411,62860,69414,
27450,Yarra Ranges (S),61574,64272,67232,70532,
27630,Yarriambiack (S),3598,3628,3668,3698,
29399,Unincorporated Vic,1054,1110,1158,1202,
