Year,Queensland,New South Wales,Victoria
2021,282600.0,233300.0,379400.0
2022,282600.0,233300.0,379400.0
2023,282600.0,233300.0,379400.0
2024,282600.0,233300.0,379400.0
2025,282600.0,233300.0,379400.0
2026,271300.0,294800.0,375200.0
2027,271300.0,294800.0,375200.0
2028,271300.0,294800.0,375200.0
2029,271300.0,294800.0,375200.0
2030,271300.0,294800.0,375200.0
2031,265300.0,299500.0,389900.0
2032,265300.0,299500.0,389900.0
2033,265300.0,299500.0,389900.0
2034,265300.0,299500.0,389900.0
2035,265300.0,299500.0,389900.0
