Year,NewSouthWales,NorthernTerritory,Queensland,SouthAustralia,Tasmania,Victoria,WesternAustralia,Australia
2020,1015000,0,1896100,250500,652400,5817100,899700,10530800
2021,1015000,0,1896100,250500,652400,5817100,899700,10530800
2022,1015000,0,1896100,250500,652400,5817100,899700,10530800
2023,1015000,0,1896100,250500,652400,5817100,899700,10530800
2024,1015000,0,1896100,250500,652400,5817100,899700,10530800
2025,1015000,0,1896100,250500,652400,5817100,899700,10530800
2026,1015000,0,1896100,250500,652400,5817100,899700,10530800
2027,1015000,0,1896100,250500,652400,5817100,899700,10530800
2028,1015000,0,1896100,250500,652400,5817100,899700,10530800
2029,1015000,0,1896100,250500,652400,5817100,899700,10530800
2030,961800,0,2077600,104200,947800,6857300,848400,11797100
2031,961800,0,2077600,104200,947800,6857300,848400,11797100
2032,961800,0,2077600,104200,947800,6857300,848400,11797100
2033,961800,0,2077600,104200,947800,6857300,848400,11797100
2034,961800,0,2077600,104200,947800,6857300,848400,11797100
2035,961800,0,2077600,104200,947800,6857300,848400,11797100
2036,961800,0,2077600,104200,947800,6857300,848400,11797100
2037,961800,0,2077600,104200,947800,6857300,848400,11797100
2038,961800,0,2077600,104200,947800,6857300,848400,11797100
2039,961800,0,2077600,104200,947800,6857300,848400,11797100
2040,990400,0,2321900,142300,1007500,8165700,885000,13512800
2041,990400,0,2321900,142300,1007500,8165700,885000,13512800
2042,990400,0,2321900,142300,1007500,8165700,885000,13512800
2043,990400,0,2321900,142300,1007500,8165700,885000,13512800
2044,990400,0,2321900,142300,1007500,8165700,885000,13512800
2045,990400,0,2321900,142300,1007500,8165700,885000,13512800
2046,990400,0,2321900,142300,1007500,8165700,885000,13512800
2047,990400,0,2321900,142300,1007500,8165700,885000,13512800
2048,990400,0,2321900,142300,1007500,8165700,885000,13512800
2049,990400,0,2321900,142300,1007500,8165700,885000,13512800
2050,987600,0,2076600,189700,1305900,8685800,1084000,14329600
2051,987600,0,2076600,189700,1305900,8685800,1084000,14329600
2052,987600,0,2076600,189700,1305900,8685800,1084000,14329600
2053,987600,0,2076600,189700,1305900,8685800,1084000,14329600
2054,987600,0,2076600,189700,1305900,8685800,1084000,14329600
2055,987600,0,2076600,189700,1305900,8685800,1084000,14329600
2056,987600,0,2076600,189700,1305900,8685800,1084000,14329600
2057,987600,0,2076600,189700,1305900,8685800,1084000,14329600
2058,987600,0,2076600,189700,1305900,8685800,1084000,14329600
2059,987600,0,2076600,189700,1305900,8685800,1084000,14329600
2060,1001500,0,2212400,143200,1133000,7940300,901800,13332200
2061,1001500,0,2212400,143200,1133000,7940300,901800,13332200
2062,1001500,0,2212400,143200,1133000,7940300,901800,13332200
2063,1001500,0,2212400,143200,1133000,7940300,901800,13332200
2064,1001500,0,2212400,143200,1133000,7940300,901800,13332200
